Architect,HQ Country,UK Presence,DK Presence,NO Presence,DE Presence,UAE Presence,SG Presence,US Presence,BD Rank 2023,International Portfolio,Complex Projects,High Rise Buildings,Current Relationship,Align with Values,Architects Employed,Turnover(in USD millions),Locations,Website
SSH,Bahrain,1,0,0,0,1,0,0,73,5,5,4,1,2,140,55,9,https://www.sshic.com/
EPR Architects,UK,1,0,0,0,0,0,0,76,3,2,2,1,4,136,25,3,https://www.epr.co.uk/
Purcell,UK,1,0,0,0,0,0,0,77,3,4,1,1,6,132,25,14,https://www.purcelluk.com/
Henn,Germany,0,0,0,1,0,0,0,78,6,5,6,1,4,131,65,4,https://www.henn.com/en
Stride Treglown,UK,1,0,0,0,0,0,0,80,2,3,1,1,5,127,15,9,https://stridetreglown.com/
Feilden Clegg Bradley Studios,UK,1,0,0,0,0,0,0,81,1,2,1,1,2,112,15,1,https://fcbstudios.com/
Hyphen,UK,1,0,0,0,0,0,1,81,4,2,1,1,4,112,25,15,https://hyphen.archi/
PRP,UK,1,0,0,0,0,0,0,84,2,2,2,1,3,105,25,4,https://www.prp-co.uk/
Diamond Schmitt Architects,Canada,0,0,0,0,0,0,1,85,3,2,2,1,3,103,45,4,https://dsai.ca/
Scott Brownrigg,UK,1,0,0,0,0,1,1,86,2,3,2,1,4,101,25,9,https://www.scottbrownrigg.com/
Hames Sharley,Australia,0,0,0,0,0,0,0,87,5,3,1,1,3,81,15,6,https://www.hamessharley.com.au/
Sanjay Puri Architects,India,0,0,0,0,0,0,0,87,2,4,4,1,3,81,4.5,3,https://sanjaypuriarchitects.com/
AHR,UK,1,0,0,0,0,0,0,89,2,2,1,1,3,79,15,9,https://www.ahr.co.uk/
Buckley Gray Yeoman,UK,1,0,0,0,0,0,0,91,1,2,1,1,3,71,15,3,https://www.bgy.co.uk/
Fentress Architects,US,0,0,0,0,0,0,1,94,2,4,3,1,2,45,35,7,https://fentressarchitects.com/
Smallwood,US,0,0,0,0,0,1,1,97,3,2,3,1,2,27,25,2,https://www.smallwood-us.com/
BIG,Denmark,1,1,1,1,0,0,1,100,18,7,7,1,6,700,92,7,https://big.dk/
HLA,Denmark,0,1,1,1,1,1,1,100,15,5,3,1,9,750,75,9,https://henninglarsen.com/en
3XN,Denmark,1,1,0,0,0,0,1,100,10,6,5,1,7,140,22.5,5,https://3xn.com/
OMA,Netherlands,0,0,0,0,0,0,1,100,30,6,4,1,5,300,20,4,https://www.oma.com/
UN Studio,Netherlands,0,0,0,0,1,1,1,100,15,7,5,1,5,410,28,7,https://www.unstudio.com/
MVRDV,Netherlands,0,0,0,1,0,0,1,100,10,7,5,1,5,300,20,5,https://www.mvrdv.com/
Grimshaw,UK,1,0,0,0,1,0,1,100,20,6,4,1,7,650,90,8,https://grimshaw.global/
Populous,US,1,0,0,0,1,1,1,100,20,6,3,1,6,750,69,28,https://populous.com/
Heatherwick,UK,1,0,0,0,0,0,0,100,10,7,3,1,7,250,22,1,https://www.heatherwick.com/
Hawkins Brown,UK,1,0,0,0,0,0,1,100,3,3,2,1,5,275,3.6,6,https://www.hawkinsbrown.com/
Wilkinson Eyre,UK,1,0,0,0,0,0,0,100,4,4,4,1,6,200,6,3,https://wilkinsoneyre.com/
PLP,UK,1,0,0,0,0,1,0,100,4,4,5,1,6,200,20,3,https://plparchitecture.com/
RHSP,UK,1,0,0,0,0,0,1,100,3,5,5,1,5,175,4.29,5,https://rshp.com/
SOM ,UK,1,0,0,0,1,0,1,100,20,7,8,1,6,1800,347,12,https://www.som.com/
KPF,UK,1,0,0,1,0,1,1,100,15,7,7,1,6,630,186,9,https://www.kpf.com/
Woods Bagot,UK,1,0,0,0,1,1,1,100,18,6,5,1,5,1000,75,17,https://www.woodsbagot.com/
Benoy,UK,1,0,0,0,0,1,1,100,20,7,6,1,5,500,300,8,https://www.benoy.com/
